Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
USNM,198705,Neofelis,nebulosa,female,Indonesia,Borneo,138.1,41,53.9,32.4,49.9,39.6,93.7,45.9,30.8,50.6,15.7,30,39.4,28.6,57.7,4.9,3.7,8.6,6.5,6.7,10.9,7.9,16.1,47.8,20.7,9.1,5.9,4.7,6.8,3.7,8.8,11.6,5.7,12.5,5.6,27,13.4,37.2,46.6,90.8,16.2,7.7,16.4,6.8,25.8
FMNH,104730,Neofelis,nebulosa,female,Zoo/Southeast Asia,,160.7,43.1,64.5,35.6,56.1,42.2,95.4,47.7,25,52,18.2,35,42.6,30.3,59.4,5.2,3.9,10.3,10.2,,,6.2,19.1,40.4,23.1,10,7,4.1,8.1,3.9,8.3,12.4,5.1,13.2,5.8,24.4,16,38.2,48.5,99.8,19.8,7,18.2,6.5,31.7
FMNH,183653,Neofelis,nebulosa,female,Zoo,,161.4,47.5,67.3,36.7,53.6,42.2,105,44.5,27.8,53.9,16.8,39,46.7,33.1,61.6,5.3,3.9,10.7,8.5,7.7,12.5,9.2,19,55.2,23.9,9.8,7.2,5.6,9.1,4.5,8.4,12.9,5.7,14.2,6.7,31.7,17,45.9,52.6,108.3,20.9,8.9,20.7,7.6,35.8
USNM,196600,Neofelis,nebulosa,male,Indonesia,Borneo,170.5,49.1,70.3,41.1,54.7,42.5,104.2,42.2,34.8,58.1,19.1,38,45.7,33,65.8,5.2,5.1,11.3,8.3,7.3,11.4,9.2,18.7,53.8,24.4,10.6,7.1,5.2,7.5,4.2,10.2,13.8,6.9,14.7,6.4,26.2,18.5,39.3,58.3,112,19.4,9.8,19.2,9.1,29.4
FMNH,54304,Neofelis,nebulosa,male,Zoo/Asia,,170.7,45.7,67.2,40,61.5,47.8,112.5,47.6,30.8,57,18.7,40.8,44.9,33.7,65,4.9,4.1,12,9,7.6,12.3,9.9,20.4,56.7,23.5,11.4,8.4,5.4,10.3,5.2,7.8,13.8,6.3,15.7,7.5,33.3,18.8,44.6,56.5,112.9,20,9.5,20.3,9.3,26.8
FMNH,186436,Neofelis,nebulosa,female,Zoo,,176.9,45,73.6,42.5,62,48.2,111.3,43,27.5,60.9,19.1,45.4,49.9,33.3,68.1,6.1,4.6,13,9.6,8.3,13.7,10.5,20.7,60.3,25.6,11.7,9,6,10.2,4.8,8.1,14,6.7,14.7,7.4,31.8,19.7,44.2,59,119.1,24.5,10.1,25.4,9.1,38.7
USNM,A49974,Neofelis,nebulosa,male,Indonesia,Borneo,192.1,53.5,74,46.5,62.2,45.9,126.4,51.5,31,56.6,18.9,42.8,51.9,33.9,73.9,5.9,5.2,12.8,10.5,8.5,15.1,10.8,18.7,62,26.9,11.8,8.5,5.7,9,5,10.8,14.2,7.1,15.6,6.9,35.7,21.3,52.1,64.6,126.9,21.2,11.2,22.4,10.8,38.5
FMNH,42583,Neofelis,nebulosa macrosceloides,female,India,,142.2,39.2,58.4,32.5,49.5,39.7,90.8,34.6,27.7,51.6,15.2,32.4,40.1,29.5,56,4.7,3.8,9,7.1,7.1,10.5,7.8,17.4,47.3,20.6,9.4,6.3,5,7.9,4,8,11.5,5.2,12.3,5.5,25.9,15.9,38.3,46.4,93.9,17.3,7.8,18.2,7.3,27.3
FMNH,75830,Neofelis,nebulosa macrosceloides,male,India,Manipur,168.8,46.9,69.8,67.6,57.8,43.7,107.6,36.5,25.8,57,18.1,40,48.5,33.6,62.7,5.9,4.2,10.9,8.8,7.6,13.5,11,20.3,53.7,25.3,10.7,8,5.8,10.3,5,9,13.9,6.6,16,7.2,36.2,17.8,43.4,54.8,107.8,18.6,10.5,19.6,9.4,32.4
MVZ,139613,Oncifelis,colocolo,unknown,Peru,,96.2,29.4,35,19.4,36.6,33.4,64.5,41.8,27.7,44.6,10.9,22.4,31.7,23.7,41.1,2.6,2.1,5.4,3.8,4.7,6.6,5.3,11.2,27.2,11.6,4.9,3.8,4.1,5.7,3.1,4.8,7.1,3.6,8.8,4,14.8,8.1,21.9,31,58,10.7,5.4,9.3,5,16.3
