Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
LACM,51595,Acinonyx,jubatus,male,,,147.7,76,62.2,44.8,65.7,56,108.4,67.7,53.6,65,21.6,42.4,47,34.7,63.5,5.4,4.9,11.3,8,10.1,13.9,9.3,23,51,17.8,9.6,7.2,9.5,12.3,5.5,10.8,15.3,6,16.7,7.7,34.6,22.7,46.1,59.9,100.8,22.2,9.3,22.5,9.7,27.2
LACM,51285,Acinonyx,jubatus,unknown,,,158.7,78.7,67.2,41.8,72.8,60,124.8,76.9,57.4,67.9,21.6,45.3,52.8,38.4,72.8,4.9,4.3,9.2,8.3,10.7,15.9,9.7,23.1,51.5,18.4,9,6.3,10,12.4,5.3,11.7,16.1,5.9,17.6,7,41.1,20.7,53.6,67.1,110.6,21.7,11.3,22.1,10.8,27.3
LACM,30788,Acinonyx,jubatus,unknown,,,165.8,,,44.6,68.2,57.7,132,75.9,52.8,67.7,21.1,45.5,51.4,38.1,73.7,5.4,4.7,11.1,8.5,9.8,14.1,8.8,24,54,19.2,9.6,7.4,9.7,12.5,5.7,11.4,16.2,6.5,19.1,7.6,38.8,22.9,54.1,67.5,114.3,21,11.2,21.6,10.7,28.8
MVZ,184065,Acinonyx,jubatus,unknown,unknown,,174.3,49.8,66.5,44.8,61.8,54.8,120.6,69.2,55.2,68.4,19.3,42.3,52.4,37.7,68.8,4.5,5.1,10.3,7.9,9.8,13.2,5.8,22.7,50.2,14.7,8.9,6.5,9.2,12.6,5.1,11.5,15.8,6.1,16.7,6.9,34.9,18.3,48.1,65.7,113.2,19.8,10.5,19.3,10.6,24.8
MVZ,184066,Acinonyx,jubatus,unknown,unknown,,178.2,49.4,63.5,43.5,61,53.9,119.1,72.5,55.8,67.2,19.5,43.9,50.6,37.8,70.1,4.9,4.2,10.4,9.2,9.9,12.8,8.7,21.4,51,16.2,9,7.4,8.3,11.1,4.9,10.5,14.6,5.7,17.5,7.6,36.4,19.9,47.3,67.2,114.7,23,6.9,23.1,5.9,27.1
FMNH,39475,Acinonyx,jubatus,unknown,Tanzania,Serengeti Plains,181.3,54.5,70.6,45.6,72.3,53,129.2,72.2,54.9,71.5,20.7,46,52.5,39.8,73.5,5.4,4.7,10.9,9,11.1,14.9,9.1,23.7,52.7,17.9,10.4,7.6,10.5,12.8,6.4,11.9,16.2,6.9,19.7,8,35.5,19.9,53.9,69.4,117.1,22.3,11.2,22.8,10.8,26.8
MVZ,117861,Acinonyx,jubatus,unknown,South Africa,,192.8,56.9,71.7,48.8,73.7,58.1,136.6,84,57.5,73.3,22.5,49.7,57,39.2,74,5.4,4.5,11.3,9.7,10,13.9,6.5,23.7,54.7,18.1,10,7.8,10.1,12.5,5.9,12,16.8,6.7,19.3,7.9,37.9,26.7,56,75.4,128.2,23.4,12.4,22.4,11.6,31.8
FMNH,34589,Acinonyx,jubatus,male,Botswana,,194.7,34,79.5,52.3,73.8,57.7,135.6,77.8,58.2,71.7,22.6,49.1,58.2,43.2,74.1,5.6,4.8,12.1,9.8,10.7,15.1,9.6,25.1,57,17.9,10.4,7.9,10.4,13.7,6.4,11.6,17.2,7.6,21.2,8.4,35.3,23.06,55.7,74.1,128.1,24.1,11.1,23.6,11.1,32.1
MVZ,117860,Acinonyx,jubatus,unknown,South Africa,,205.4,56.1,78.7,49.2,71,58,139.6,80.5,59.4,74.1,22.4,51.4,56,40.6,78.3,6.4,4.6,13.6,10.4,10.2,16,6.6,25.7,59.2,18.5,10.8,8,9.5,13.5,6.1,11.4,17.5,7.9,20,8.3,39.5,25.7,53.6,76.6,131.6,24.9,11.9,24.8,11.8,33.2
USNM,163098,Acinonyx,jubatus raineyi,female,Kenya,Guaso Nyiro,173.6,50.6,64.7,44.2,64.4,49.6,119.8,69.7,51.5,68.2,19.8,44.5,47.7,38.1,66.3,5.3,4.3,9.1,7.7,9.3,13.4,8.9,22.1,48.6,15.1,8.2,6.8,9.2,11.8,5.3,11.2,15,6.1,17.6,7.3,30.8,17.3,50.5,65.7,110.8,19.1,9.9,19.1,9.7,27.5
FMNH,39476,Acinonyx,jubatus raineyi,unknown,Tanzania,Serengeti Plains,185,55.4,67.6,46.7,71.8,56,133.2,74.7,55.4,70.9,20.1,46.5,52.9,39.6,73.1,5.3,4.7,10.6,8.5,9.2,14.2,9.4,23.2,52.8,17.1,9.5,7.5,9.7,12.7,6.3,11.8,16.8,7.1,18.2,8,39.1,19.5,54.4,74.3,123.7,23.6,11.2,22.6,11.7,31
FMNH,43292,Caracal ,caracal,male,Zoo/Africa,,105.9,32.3,41.6,22,44.4,37.7,69.2,38.7,30.4,48,13.7,25,35.6,28.3,44.3,3.6,3.1,6.8,5.2,5.6,9,7,15.1,36.9,11.9,6.4,4.5,,,,,,,11.2,5.2,18.6,11.5,26.1,33.6,66.9,12.8,7.9,13.4,7.2,18.9
FMNH,105607,Caracal ,caracal,female,Sudan,,109.5,32.7,44,27,42.2,38.6,74.4,38.6,28.7,48.5,13.2,24.6,36.4,26.5,46.4,3.3,3,5.8,4.3,5.8,7.8,5.7,13.7,35.3,10.4,5.4,3.7,4.7,5.9,3,7.1,9,4.3,10.7,4.6,20.7,13,28.5,36,70,12.9,6.7,11.4,6.6,17
USNM,182218,Caracal ,caracal,unknown,Kenya,Nairobi,112.1,34.3,46.6,25.5,46.3,36.6,82.2,45.7,30.6,51.5,13.3,27.5,37.7,29.7,48.6,3.6,3.1,6.5,4.9,6.1,8.7,6.6,15.2,36.6,10.9,5.9,4.7,5.2,6.5,4.1,7.3,10.1,4.8,10.8,5.2,24.6,12.9,31.7,39.7,74.5,13.7,7.1,13.1,6.5,16.8
FMNH,135042,Caracal ,caracal,unknown,Israel,,116,34.7,46.2,25.6,42,38.3,79.4,45.5,31.2,50,12.6,26,37.9,28,50.7,3.6,2.7,6.4,5,5.7,8.4,6.5,14.1,36.1,9.6,5.4,4.3,4.8,6.7,2.9,6.3,9,4,9.9,4.4,21.2,13.2,29.7,39.6,73.7,13.8,7.4,12.7,6.3,17.8
USNM,470164,Caracal ,caracal,female,Botswana,Shakawe,120.3,34.9,48.7,43.7,80.3,40.6,79.9,41.8,28.6,49.1,13.4,26.7,40.6,29.6,54.2,3.7,3.1,7,5.3,6.9,9,6.8,15.5,37.6,11.5,6.6,4.8,5.7,7.4,3.9,7.8,10.1,4.9,12.7,5.1,23.2,13.2,29.7,41.6,76.8,13.8,7.5,12.7,6.9,19.1
USNM,384162,Caracal ,caracal,female,Botswana,Khumaha,124.1,36,49,28.1,48.8,42.8,86.3,44.3,30.6,52.8,13.6,29.1,37.4,28.8,50.9,4,3,6.4,5.5,6.6,9,6.9,15.7,40.4,11.5,5.9,4.7,5.7,4.7,3.8,7.6,10.2,4.9,11.7,5.2,23.3,12.6,35.4,43,80.1,14.6,7,14.2,6.5,19.1
FMNH,32945,Caracal ,caracal,male,Ethiopia,,124.3,37,48.6,29.5,46.6,41.3,87.2,54.7,34.5,50.3,14.9,29.9,40.7,28.7,52.1,3.9,3.4,7.3,5.6,7,9.7,7.2,16.3,38.9,12.8,6.7,5.1,5.5,7.2,3.7,8.1,10.4,5.2,12.5,5.5,21.9,15.2,32.5,43.3,79.9,14.8,7.8,13.6,6.8,19.2
USNM,182310,Caracal ,caracal,male,Kenya,Ulu station,129.4,39.9,51.1,31.9,49.1,38.1,87.5,48.6,29.1,50.4,14.7,29.8,40.4,28.5,54.1,3.8,3.2,7,5.8,6.8,9.8,8,15.6,39.9,12.4,6.7,5.3,5.9,7.7,4.1,7.8,10.9,5,11.9,5.6,26,15.8,36.3,45.2,84.3,15.1,7.7,13.4,7.4,19
USNM,368503,Caracal ,caracal,male,Botswana,Dodo cross roads,151.6,46.3,63.1,35.3,54.5,45.8,109.8,61.5,32.9,54.1,15.8,38.1,48.6,31.3,59.6,6.3,5.5,9.1,7.2,6.8,11.5,8.1,17.3,45.7,15.1,8.1,6.5,5.7,8.6,4.5,7.1,11.8,6.3,12.6,5.8,31.8,24,45.7,56.4,100.9,19,10.5,17.4,9.4,25.7
FMNH,8378,Catopuma,badia,unknown,Malaysia,,82.9,28.7,30.4,16.5,34.4,29.5,56.9,43.3,35.7,43.5,11.9,20.7,29.3,21.9,37.4,2.4,3.2,4.9,3.5,5.2,7.6,5.7,11.3,25.5,9.2,5.1,3.3,4.3,6.1,3.1,5.4,8,3.6,8.3,3.7,15.3,8.7,21.2,24.9,49.4,10.1,5.1,8.9,5.1,14.8
USNM,198073,Catopuma,badia,unknown,Indonesia,Borneo; Dunglum,102.9,28.2,36.1,20.7,40.9,31.7,72.3,57.1,30.7,46.9,12.5,25.4,33.3,24.3,45.8,3.1,2.4,5.5,4.4,5.5,7.6,5.4,11.9,30.2,9.6,4.8,4,4.4,5.8,3.1,5.7,7.9,3.8,8.8,4.2,19.7,13.4,25.8,35.7,63.6,11.7,6.1,11.6,5.7,19.6
FMNH,72804,Catopuma,temminckii,female,Zoo/India,,116.6,34.1,46.8,24.8,49.6,41.7,83.5,47.9,33.3,53.4,13.5,27.4,38.8,29.6,49.7,3.7,3.3,5.9,4.9,6.4,8.7,7.1,15.7,37.5,12.9,6.3,4.5,4.8,7.5,3.6,6.4,10,4.7,10.9,5,19.5,11.5,30.5,37.9,72.8,12.8,5,12.7,4.7,19.5
USNM,339645,Catopuma,temminckii,unknown,Zoo,,117.6,36.1,44.3,26.8,42.5,33.4,74.3,48.1,32.1,47.8,13.4,26.8,38.9,28.7,48.8,3.7,3,6,4.9,6.3,9.4,7,14.6,37.5,11.7,6.2,4.6,4.8,7.2,3.7,6.5,9.8,4.4,10.5,4.9,20.8,10.9,30.5,37.5,73.4,13.2,6.8,13.1,6.2,19.2
FMNH,75826,Catopuma,temminckii,male,India,Takubama,126.4,41.5,47.4,30,49.4,37.7,81.6,53.4,35.2,53.7,14.2,28.4,39.2,30.7,53.1,4.2,3.4,6.7,5.2,6.3,9.1,7,16.2,38.5,14.1,6.9,5,5.1,6.8,3.6,6.5,10.2,4.4,12.2,5.3,23.7,13.9,33.8,42,80.8,14.5,7.2,14.7,7.2,21.6
USNM,362188,Catopuma,temminckii,female,Zoo,,127.9,35.6,50.3,30.4,49.9,40.4,85.7,55.3,35.7,51.6,13.9,28.8,39,30.8,49.7,4.5,3.6,6.9,5.4,5.7,9.7,7.5,15.1,41.8,12.8,6.9,5,4.5,8,4,5.9,10.7,4.5,12.4,5.1,24.7,14.7,36.4,42.7,83.5,15,7.5,14,6.7,22.8
USNM,395843,Catopuma,temminckii,female,Zoo,,133,42.4,48.9,28.9,47.8,41.7,84.5,56,31,51.4,15.3,29.9,40.8,31.1,52.8,4.1,3.6,6.7,5.5,6.1,8.8,7.2,14.7,39.5,13.2,6.4,5.2,4.8,7.1,3.9,6.5,10.1,4.7,10.6,5.4,22.3,16.7,36.7,42.1,81.4,16.1,7.1,14.6,7,22.7
FMNH,98908,Catopuma,temminckii,male,Zoo/Nepal,,135.3,39.4,49.4,27.7,48.3,37.4,84.2,50.2,31.5,50.8,15.5,30.3,41.6,29.4,53,4.3,3.5,7.6,6.3,6.9,10.8,8.5,15.8,41.6,14.7,7.8,5.4,5.2,8.4,4.1,6.7,11.3,5.2,11.9,5.1,23.4,14.9,31.2,43.1,82.8,14.9,6.3,14.1,6.7,22.4
FMNH,31778,Catopuma,temminckii,unknown,Laos,,136.2,35.6,55,32,50,38,91.4,55.2,31.4,53.2,14.3,31.3,45.8,,57.4,4.7,3.5,8.5,6.6,5.9,11.5,8.9,17.8,43.7,15,8.2,5.8,5,8.9,4.1,6.2,12.1,5,13.6,5.6,27,16.3,38.5,45.1,88,17.4,8.3,16.6,7.4,27.3
FMNH,89919,Catopuma,temminckii,male,Vietnam,,146.5,44.1,54.9,34.3,53.4,42.3,92.1,56.9,30.5,53.9,14.5,32.5,42,30.7,58.7,3.9,4.1,8.2,6.3,6.7,9.7,8.1,16.3,43.7,14.3,7.2,5.7,5.5,8.1,4,6.7,10.1,5.1,12.4,5.8,26.1,17.2,41.6,48.2,91.9,16.1,8.9,15.2,8.5,26.7
USNM,259012,Catopuma,temminckii,female,China,Sichuan,154.8,43.9,58.1,37,51.8,44.9,102,61.7,39.3,56.4,16.4,35.1,47.4,31.8,62.4,4.3,4,8.1,6.7,6.4,10.7,8.2,17.7,44.4,16.1,8.2,6.5,5.3,8.7,4.5,7.5,12.4,5.3,14.4,6.4,29.6,17.8,46.4,52.7,97.6,20.4,9,18.2,8.8,30
LACM,56784,Felis,chaus,female,India,,89.5,44.4,35.1,19.6,34.9,32.6,64.3,47.7,35.5,44.9,10.4,21.2,30.4,22.3,39.5,2.5,1.9,4.4,4,6,7,5.8,12.2,30.4,9.4,4.1,3.1,4.4,5.9,2.5,5.6,7.8,3.6,9.9,3.8,16,10.8,20.3,32.5,59.5,10.1,5.2,9.4,4.7,14.4
USNM,294965,Felis,chaus,female,Thailand,Prachin Buri,89.7,24.5,34.4,18.9,38,31.7,59.9,39.9,34,44.4,11.1,20.3,29.7,22.4,41,2.6,2.4,4.5,3.5,5.5,8.1,6.3,11.8,29.9,9,4.4,3.1,4.5,6.3,3,5.6,8.4,3.5,9.4,4,14.3,9.1,23,27.7,56.1,9.7,5.1,8.7,4.8,13.9
LACM,56781,Felis,chaus,female,India,,91.4,47.5,35.6,19.3,36.8,32.6,65.6,47.6,34.8,45.6,9.7,20.8,28.5,22.8,39.9,2.4,2.1,4.4,3.5,5.6,7.6,5.2,11.8,30.5,9.6,4,3,4.1,6.4,2.8,5.3,9.3,3.2,9.6,3.8,16.8,11.2,24.4,31.7,60.1,10.3,5.1,9.9,5,14.2
LACM,56783,Felis,chaus,female,India,,92.6,46.9,36.4,18.7,38.5,33.4,65.7,46.2,32.4,45.7,10.4,22.1,29.8,23.2,40.2,2.1,1.9,4.2,3.4,5.3,7.2,5.2,12.1,29.7,8.8,3.8,3,4.3,5.6,2.6,5.1,7.5,3.2,9.6,3.5,16.6,9.2,20.9,32.2,60.8,9.9,4.5,9.1,4,13.1
LACM,16756,Felis,chaus,female,,,93,42.8,36.8,19.1,38.9,33.3,67.1,51,35.5,44.9,10.8,23.1,28.6,22.1,40.7,2.5,2.1,4.6,3.6,5.4,8.3,6,11.6,31.1,10.5,4.1,3.1,4.8,6.4,2.9,5.4,9.3,3.2,9.8,3.8,16.3,8.6,23.9,33,59.2,10.5,4.9,9.2,4.7,14.9
LACM,17016,Felis,chaus,male,,,97.6,50.9,36.4,20.3,40,35.5,72.2,49.4,35.2,46.9,10.8,24.6,30.6,24.2,40.7,2.7,2,4.8,3.1,5.4,7.8,6.4,11.8,32,11.9,5.1,3.8,5.1,6.1,3.1,5.6,8.7,3.9,9.6,3.8,19.9,11.3,28.4,36.2,66.5,10.9,5.9,10.3,5.5,16.3
USNM,369310,Felis,chaus,male,Pakistan,Bahawalnager,108.2,31.9,41.9,23.6,44.4,35.4,75,49.6,33.8,46.4,11.7,25.7,33,24,44.3,2.8,2.4,5.5,4.3,5.3,7.7,6.7,12,33.6,10.5,5,3.8,4.6,6.4,3.1,5.5,8.8,3.8,8.9,4.1,18.5,10.8,28.6,39,70.8,11.8,5.9,11.3,5.4,15.2
LACM,8224,Felis,chaus,male,India,,110.7,56.9,43.5,25.1,41.4,38.4,81.2,52.6,33.1,46.7,12.1,26.2,38.1,25.4,48.3,2.9,2.8,6,4.7,4.7,8.3,6.5,12.6,35.5,11.7,5.8,4,4.5,7.3,3.5,5.6,9.3,3.9,10.6,4.3,19.8,12.7,29.6,40.1,74.9,13.5,6.3,12.3,6.2,18.2
USNM,319046,Felis,chaus,male,India,New Dehli,111.4,31.9,42.2,23.3,41.6,33.2,75.4,50.5,35.4,46.9,12.3,25.8,34.9,24.7,44.9,2.5,2.4,5.5,4.7,5.5,8.2,7.2,12.5,34.3,11.3,5.3,4.3,5,7,3.2,5.7,9,3.8,9.1,4,22,11.4,27.8,37.7,70.7,11.9,6.3,11.1,5.9,17.5
USNM,176049,Felis,chaus affinis,female,India,Kashmir,102.2,30.6,39,22.7,40,32.6,70.1,48.8,33.9,46.6,10.5,23.4,33,24.9,43.2,2.7,2,4.7,3.8,5,7.4,6.8,11.7,31.1,8.1,4.4,3.2,4.5,6.5,3.1,5.2,8.5,3.7,8.3,3.7,19.1,8.7,25.5,35.2,63.7,10.9,5.4,10,4.7,14.1
FMNH,159995,Felis,margarita,female,Zoo,,84.7,27.6,28.1,18.5,33.3,30.3,67.2,51.1,33.4,42.8,7.3,18.3,32.7,19.5,41.8,,,3.9,3.1,4.9,6.7,3.4,9.9,26.1,6.8,3.2,2.5,,,,5,6.4,2.6,,,16.3,7.4,24.3,31.5,54.9,7.1,4.9,7.4,4.5,11.9
FMNH,127295,Felis,margarita,male,Zoo/Asia,,89.7,20.2,32.3,19.5,36.7,30.7,70.9,52.2,34,43.7,8.8,21.8,33.7,20.2,42.2,1.9,1.7,5.2,3.9,5.9,7,4.7,10.6,28.1,10,4.5,3.4,4.1,5.5,2.5,5.4,7.4,3,8,3,16.5,10.7,25.8,31.2,59.4,10,6,9.1,5.6,14.4
FMNH,127296,Felis,margarita,male,Zoo/Asia,,91.7,29,31.6,21.7,35.5,31.8,75.1,56.4,33.7,44.6,7.9,20.8,31.4,20.8,44.8,1.9,1.7,4.9,3.6,4.4,6.3,4.5,10.1,26.9,9.9,4.2,3,4.2,5.6,2.5,4.7,7.3,2.7,7.6,3.1,18.6,10.4,26,35.5,64,10,5.3,9.1,4.7,13.8
FMNH,60613,Felis,margarita,male,Zoo/Asia,,95.1,23.9,32.3,21.8,36.2,31.4,73.9,54,32.5,43.6,7.6,20.5,32.1,20.9,43.1,1.9,1.7,4.7,3.8,4.9,6.1,4.4,10.3,28.9,9.4,4.2,3.1,4.1,5.5,2.6,4.6,6.7,2.7,7.5,3.5,16.5,12.1,24.8,35,58.8,10.5,5.5,9.6,4.4,8.5
USNM,395519,Felis,nigripes,female,Zoo,,77.3,23,28.2,15.6,30.8,26,57.3,41.7,30.4,38.1,8.5,17.2,26,18,35.3,1.6,1.5,4,2.7,4.3,5.3,3.2,8.9,23.8,7,3,2.4,3.7,3.7,2.1,4.4,5.1,2.4,6.4,2.9,13.8,6.9,20.4,25.5,47.6,8,3.5,7.3,3.5,10.6
USNM,395838,Felis,nigripes,male,Zoo,,77.8,25.2,28.7,15.4,30.3,27.9,57.8,32.4,27.8,36.6,8.9,18.4,28.9,19.5,37,2.1,1.5,4.4,3.5,3.9,5.3,3.4,9.2,25.3,8.8,3.7,3,3.2,3.9,1.9,4.1,5.2,2.3,6.6,2.7,14.1,6.3,17.5,26.5,49,8.7,3.9,8,3.6,13.5
USNM,381275,Felis,nigripes,female,South Africa,Gannavloer,78.5,24.2,29.9,15.4,30.2,28.8,58.1,42.6,28.8,39.7,8.2,17.9,27.1,19.3,36.6,1.8,2,4.2,3.3,4.2,5.4,3.5,9.6,24.1,8,3.4,2.6,3.7,4.3,2.2,4.3,5.7,2.6,7,2.9,12.7,7.8,18.6,25.2,46.7,8.4,3.8,7.5,3.5,10.4
USNM,395135,Felis,nigripes,male,Zoo,,81.9,26.5,30.3,17.2,30.9,28.5,61.1,42.7,28.9,39.8,8.5,18.7,26.8,20.1,38.1,1.7,1.6,4.6,3.1,4.5,6.5,4,10.5,25.6,8.7,4,2.8,4,4.9,2.4,4.8,6.6,2.9,7.9,3,14.1,9.8,21.5,26.8,51,9.4,4.2,7.9,4,12
LACM,70171,Felis,silvestris,female,Chad,,82.4,42,31.9,18.4,34.1,28.9,59.2,47.5,33.7,41.1,9.2,19.4,28,20.5,36.8,2.4,1.5,4.4,3.1,4.9,7,5.4,9.9,28.5,9.3,3.7,2.7,4.1,5.5,2.4,4.6,7.2,2.7,8.3,3.6,14.1,9.2,21,26.8,52.5,9.4,4,9,3.7,12.1
LACM,41786,Felis,silvestris,female,Namibia,,83.2,42.7,31.6,16.6,38.6,33.1,62.8,45.7,35.1,46.3,10.2,19.3,29,21.1,40.9,2.4,2.1,3.6,3.8,5,7.4,5.1,10.8,29.3,9.5,4.5,3.4,4.3,6.2,2.4,5,7.7,2.8,7.9,3.3,12.9,7.7,20.4,26.8,52.5,9.1,5.2,8.3,4.8,12.2
LACM,14480,Felis,silvestris,male,Chad,,84.6,42.4,32.6,18.6,34.8,34.1,70.2,52.3,35.4,45.4,9,21.9,30.8,21.4,41.9,2.1,1.8,4.6,3.6,3.8,6.1,4.5,9.6,28.9,9.1,4.3,3.3,3.8,5,2.5,4,7,2.7,7.8,3,16.6,11.6,25.1,32.3,56.8,10.6,5,9.4,4.8,12.9
LACM,37868,Felis,silvestris,unknown,Angola,,88.4,45.8,32,17.7,36.1,31.9,65.8,52.2,35.4,44.8,9.8,21.3,28.8,25.5,42.3,2.6,1.9,4.5,3.4,5.6,6.9,5.4,10.7,28.9,9.9,4.4,3.1,4.6,5.9,2.7,5.4,7.8,3,8.7,3.9,15.2,10.3,24.4,30.6,57.3,10.4,4.7,10.2,4.6,13.3
MVZ,117862,Felis,silvestris,unknown,Namibia,,92.7,28.2,32.1,18.2,36.1,29.1,66.1,48.2,34.1,45.4,9.6,19.9,26.8,21.3,41.9,2.4,1.8,4,3.6,4.8,7.2,4.7,10.8,30.1,9.3,4,3.1,4,6.2,2.5,5,7.5,3,8.4,3.5,14.7,7.5,21.5,28.3,55.9,9,4.4,8.5,3.9,10.7
LACM,56696,Felis,silvestris,male,Namibia,,95.3,49.2,37.6,23.5,41.1,38.5,76.6,50.9,33.1,47.7,9.8,23.4,31,22.8,45.2,2.1,1.4,5.1,3.9,4.3,7.2,5.5,11.8,33.3,10,4.9,3.7,4.3,5.6,2.6,5,8.4,3,9.6,3.8,18.1,10.7,26.2,35.7,65.9,12,4.6,10.9,4.3,16.6
MVZ,118481,Felis,silvestris,male,Botswana,,98.5,30.5,36.7,20.2,40,33.5,69.8,51.2,36.2,46,10.6,23.9,31.3,23.2,44.4,2.6,2.1,5.2,4.1,4.5,7.4,5.3,11.5,31.2,10.7,5,3.9,4,5.8,2.6,5.1,8,3.1,9.5,3.6,15.2,9.2,23.7,29.7,60.1,10.9,5.3,10.4,4.8,13.4
MVZ,118482,Felis,silvestris,male,Botswana,,101.7,,38.1,22,38.1,33.6,69.8,51.6,34.5,45.8,10.7,24,,,,2.4,1.9,5.3,4.5,4.9,7.4,5.2,11.9,33.7,10.8,5.3,3.8,4.7,6.4,3,5.1,7.6,3.4,9.1,3.8,16.2,8.6,25.4,31.4,63.5,11.2,5.3,10.6,4.9,14.2
MVZ,165183,Felis,silvestris,female,Kenya,,101.7,29.8,38.1,23,39.3,33,70.6,51.5,34,46.4,10.1,23.5,30.7,24.2,45,2.3,1.7,4.7,3.9,5,7.1,6,11,31.5,11.1,4.7,3.6,4.3,5.9,2.7,5,8.2,3.1,8.7,3.2,15.9,8.4,24.9,31.1,63.3,11.2,5.8,10.6,5.4,14.4
FMNH,127835,Felis,silvestris ugandae,male,Tanzania,Serengeti Plains,100,30.4,39.1,21.8,39.6,35.1,74,54.6,33.2,47.5,10,24.1,28.4,22.9,44.6,2.2,1.9,5.4,3.9,3.8,6.5,5.5,11.6,31.6,10.4,5.3,4,3.4,5.2,2.6,4.1,7.3,3.2,8.6,3.6,15.7,9.9,28.6,35.5,66.1,11.7,5.6,10.5,5.4,14.6
MVZ,145344,Herpailurus,yaguarondi,male,Paraguay,,92.6,35.1,35.1,20.6,33.7,27.3,58.5,41.5,29.3,42.6,10.7,20.4,29.5,24.2,36.6,2.9,2.8,5,3.5,5.5,7,4.6,11.2,27.9,8.3,4.4,3.2,4.5,5.7,2.8,5.3,7.1,3.5,8,3.4,17.6,11.1,22.4,29.3,54,10.2,4.9,8.9,4.6,12.4
MVZ,98311,Herpailurus,yaguarondi,unknown,El Salvador,,92.9,34.5,33.5,19.8,35.2,31.4,58.8,37.9,27.2,41.9,10.2,20,28.4,23,38.2,2.7,2.2,4.7,3.6,4.9,6.5,4.7,10.6,27.3,,,,,,,,,,,,,,,,,,,,,
MVZ,113296,Herpailurus,yaguarondi,female,Colombia,,95.5,35.4,35.1,21.5,34.3,31.2,57.3,38.2,27,39.8,11.3,21,30.6,23.5,37.7,3.3,2.7,5.3,3.9,4.5,7.8,5.8,11.7,28.3,10.1,5.5,3.7,3.8,5.6,2.8,4.8,7.6,3.3,9.5,4.2,16.5,10.5,25.1,31,56.3,10.2,5.1,8.9,4.5,15.4
LACM,33299,Herpailurus,yaguarondi,male,Mexico,,96.6,50.7,36.4,20.5,37.9,33.4,67.2,45.8,32,45.7,11.1,23.1,31.1,23.6,38.7,3.1,2.8,5.4,4,5.3,7.2,5.3,11.6,29.6,10.2,5,3.6,3.9,5.9,3.2,5.5,6.6,3.7,8.7,3.7,19.1,13,23.6,31.9,58.2,10.8,5.5,10.2,5.1,13.6
MVZ,84333,Herpailurus,yaguarondi,female,Ecuador,,98.1,34.7,37.5,21.7,35,30.3,59.6,38.9,28.2,42.2,12.2,20.8,30,23.7,36.7,3.2,2.6,5.2,3.8,5.4,7.6,6,11.7,29.8,9.7,5,3.7,4.1,6,3.1,5.1,8.2,3.6,8.7,4,15.8,10.1,22.8,29.9,57,10.2,4.9,9.3,4.7,15.2
MVZ,155228,Herpailurus,yaguarondi,unknown,Peru,,99.6,36.9,36.6,20.8,39.9,31.6,59.4,37.7,31,44.7,12.2,21.8,36.2,25.5,38.6,3.4,3.1,6,4.2,6,8,6.1,12.9,30.9,9.5,5.7,3.9,4.7,6.2,3.8,5.5,7.9,4,9.9,4.3,16.5,10.3,22.8,28.8,56.7,10.9,6.6,10.1,5.9,14.8
MVZ,121835,Herpailurus,yaguarondi,unknown,Panama,,100.2,34.8,37.1,21.9,37.4,33.4,59.6,35.8,27.2,42.9,11.7,22.8,29.4,24.1,37.9,3.1,2.7,5.8,3.9,5.7,7.8,5.6,12,30.4,9.4,5.5,4,4.6,6.1,3.1,5.1,8.2,3.8,9.2,4.4,16.8,11.8,21.7,29.3,57.4,11.2,5.6,10.8,5.2,15.2
MVZ,184070,Herpailurus,yaguarondi,unknown,Brazil,,101.4,37.6,38.8,21.7,37.3,29.8,61.6,40.5,28.2,41.4,11.5,21.6,28.1,24.3,36.3,2.9,2.3,5.3,4,5.1,7,5.7,11.5,30.1,8.2,4.7,3.3,4.1,6.1,3,5,7.8,3.8,8.9,3.7,17.1,12.6,27.7,32.3,59.1,11.9,5.6,11,5,14.8
MVZ,153655,Herpailurus,yaguarondi,male,Peru,,114.6,40.1,42.6,24.9,41.1,34,71.4,43.4,32.1,47,13.3,24.7,35.3,25.3,43,3.5,2.9,5.9,4.4,6,7.9,5.8,12.3,33.2,10.2,6.2,4.4,4.8,6.6,3.5,6.1,8,4.1,9.3,4.4,17.8,14.3,26.8,34.8,66.7,13.4,7,12.4,6.3,20.3
LACM,61144,Herpailurus,yaguarondi tolteca,female,Mexico,,90.2,46.5,34.3,17.3,37,30.9,60.8,40.5,29.5,42.6,11.1,20.2,27.5,22.6,37.1,3,2.4,4.7,3.5,5,7.1,5.4,10.8,27.4,8,4.3,3.3,3.7,5.5,3.2,4.8,6.9,3.4,8.4,3.7,17.8,14.2,24.4,28.6,52.1,10.1,5.1,8.8,5.1,12.8
